Latitude,Longitude,Land_to_Sea,Sea_to_Land,Slope,Storm_Frequency,Surge_Height_95th,average_wind,Soil_Type_ID,Soil_Type_Code,Soil_Type_Name,Water_Level_Change
63.0,-165.5,0.0,0.0,0.569195428781404,19.0,1255.4869599499605,6.20915772835494,,11,sandy loam,82.38532792364951
63.0,6.0,0.0,0.0,0.0160464378751841,0.0,1007.0335471160032,3.408909521391244,,0,,148.23891852815672
63.0,7.0,0.0,0.0,2.26529084090049,0.0,1040.940544675015,2.428384131896625,,0,,148.540097106896
63.0,17.5,4.52906687553,3.57188189213,0.771039305272708,0.0,420.4685914441184,3.608725792083722,10075.0,11,sandy loam,144.52865029656414
63.0,18.0,5.73718196473,1.15996571167,0.0036563272233813,0.0,420.8602226992976,3.9746684305278506,10078.0,11,sandy loam,146.25522383320774
63.0,18.5,0.0,5.82915859278,0.529988888439824,11.0,423.4471133966448,6.275655708909957,,11,sandy loam,146.37958062688563
63.0,164.5,6.29510812103,0.0,0.0005526729473345,0.0,-2611.485916292972,3.2828556512324045,8665.0,7,silt loam,91.88251261691914
63.0,177.5,12.2853194076,0.0,0.0187055320792054,0.0,632.3138814464235,4.1427032470227765,8611.0,11,sandy loam,91.42348866069352
63.0,179.5,11.9084826474,0.0,0.0046590164461351,16.0,620.4971804201712,5.704300642095141,,7,silt loam,86.16469972199326
62.5,-7.5,0.0,0.0,0.0358086376401153,447.0,593.8085964519345,8.188752990051503,,0,,144.9904067322349
62.5,-7.0,0.0,0.0,0.0217648354445624,7.0,530.208515669741,6.042734441438213,,0,,143.92634165603283
62.5,5.0,0.0,0.0,1.53457600653645,0.0,953.5123174001852,3.67970537649792,,0,,147.24458730719874
62.5,6.0,0.0,0.0,2.44910325157638,0.0,991.3510484509102,2.252172312075901,,0,,149.28429094103757
62.5,17.5,0.0,8.51585276297,1.13043330745441,0.0,391.182864019785,4.008463520999679,10075.0,11,sandy loam,144.52865029656414
62.5,21.0,0.0,6.27903608229,0.0202002903157798,0.0,484.8673334979562,3.795767557277252,,0,,146.24698845093283
62.5,163.0,1.44734584307,0.0,0.252839910873739,0.0,-1784.2809826988482,3.4118639186633057,7935.0,5,clay loam,92.60649038606155
